"Jour","Produit","Prix TVA incl."
"20MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.651
"21MAY21","Essence 95 RON E10 (€/L)",1.518
"21MAY21","Essence 98 RON E5 (€/L)",1.58
"21MAY21","Diesel B7 (€/L)",1.526
"21MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.603
"21MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.633
"22MAY21","Essence 95 RON E10 (€/L)",1.518
"22MAY21","Essence 98 RON E5 (€/L)",1.58
"22MAY21","Diesel B7 (€/L)",1.526
"22MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.606
"22MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.636
"23MAY21","Essence 95 RON E10 (€/L)",1.518
"23MAY21","Essence 98 RON E5 (€/L)",1.58
"23MAY21","Diesel B7 (€/L)",1.526
"23MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.606
"23MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.636
"24MAY21","Essence 95 RON E10 (€/L)",1.518
"24MAY21","Essence 98 RON E5 (€/L)",1.58
"24MAY21","Diesel B7 (€/L)",1.526
"24MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.606
"24MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.636
"25MAY21","Essence 95 RON E10 (€/L)",1.518
"25MAY21","Essence 98 RON E5 (€/L)",1.58
"25MAY21","Diesel B7 (€/L)",1.526
"25MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.606
"25MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.636
"26MAY21","Essence 95 RON E10 (€/L)",1.518
"26MAY21","Essence 98 RON E5 (€/L)",1.58
"26MAY21","Diesel B7 (€/L)",1.526
"26MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.615
"26MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.644
"27MAY21","Essence 95 RON E10 (€/L)",1.518
"27MAY21","Essence 98 RON E5 (€/L)",1.58
"27MAY21","Diesel B7 (€/L)",1.526
"27MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.614
"27MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.643
"28MAY21","Essence 95 RON E10 (€/L)",1.518
"28MAY21","Essence 98 RON E5 (€/L)",1.58
"28MAY21","Diesel B7 (€/L)",1.526
"28MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.617
"28MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.647
"29MAY21","Essence 95 RON E10 (€/L)",1.518
"29MAY21","Essence 98 RON E5 (€/L)",1.58
"29MAY21","Diesel B7 (€/L)",1.526
"29MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.62
"29MAY21","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.649
"30MAY21","Essence 95 RON E10 (€/L)",1.518
"30MAY21","Essence 98 RON E5 (€/L)",1.58
"30MAY21","Diesel B7 (€/L)",1.526
"30MAY21","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.62
